dataset,feature,entropy,information_gain,mutual_information,chi_sq
cora,994,0.10873148590326309,0.0026863239804610223,0.00268633957603015,0.0037144780362723395
cora,995,0.032149359583854675,0.001645618470514986,0.0016457549209007993,0.0018827277390300878
cora,996,0.04102307930588722,0.002479931301103036,0.0024798717204248533,0.0022582630435863393
cora,997,0.025943651795387268,0.004475509359926383,0.004475455614738166,0.005988002156300354
cora,998,0.10647308081388474,0.013209254767035883,0.013209216995164752,0.01946210759342648
cora,999,0.04102307930588722,0.0047112850278362775,0.004711382898676675,0.00819688527553808
cora,1000,0.0047434791922569275,0.00063795223213083,0.0006378303587553091,0.0008535328124423813
cora,1001,0.029079947620630264,0.0008246741172316975,0.000824702929094201,0.0009228347396401659
cora,1002,0.05495308339595795,0.0019352178982124726,0.0019352778763277456,0.0024625587539048865
cora,1003,0.04388607293367386,0.004613609746527726,0.004613455792423338,0.00656885001444607
cora,1004,0.03515917807817459,0.007465056753118954,0.007465079543180764,0.0196888221471454
cora,1005,0.17889472842216492,0.04418565675704306,0.044185721257235855,0.11927363788709044
cora,1006,0.0160186979919672,0.0017916042387947743,0.0017916095966938883,0.0021408959478321776
cora,1007,0.01942843571305275,0.0031944933722959507,0.003194459233782254,0.004273979695426533
cora,1008,0.029079947620630264,0.005116661903248932,0.005116536078276113,0.00684596546125249
cora,1009,0.01942843571305275,0.0014436959826897855,0.0014438022262766026,0.001517775599268134
cora,1010,0.022730788215994835,0.0010502200753894388,0.0010500960888748523,0.0011972966783559968
cora,1011,0.12416982650756836,0.007583738996632172,0.007583758269902319,0.010153088791412301
cora,1012,0.03515917807817459,0.0024991014840265724,0.0024990168312797323,0.0037583486700896174
cora,1013,0.032149359583854675,0.0017686944545702021,0.0017686928040347993,0.0016558768784307176
cora,1014,0.04670776426792145,0.00938590977167604,0.009385862373164855,0.020141942746704444
cora,1015,0.03515917807817459,0.007465056753118954,0.007465079543180764,0.0196888221471454
cora,1016,0.06551086157560349,0.0012919123393195925,0.0012918970605824143,0.0012270062525203684
cora,1017,0.05495308339595795,0.0015861705892019073,0.0015862062937230803,0.0014042969842193997
cora,1018,0.038115520030260086,0.0028669924517898127,0.0028669950552284718,0.0029484818505807198
cora,1019,0.09496013075113297,0.005864579866102379,0.0058644139498937875,0.00930553040234372
cora,1020,0.038115520030260086,0.0013294702552622134,0.0013294120799400844,0.0010832768875843612
cora,1021,0.060288552194833755,0.0027225327346490427,0.0027225889352848753,0.004206303254250088
cora,1022,0.0706307515501976,0.020773466648272565,0.02077339618699625,0.04678404924925417
cora,1023,0.029079947620630264,0.00384241611211171,0.0038424662488978356,0.0052524255370371975
cora,1024,0.07565706968307495,0.007525638078767244,0.007525547538534738,0.008385957757127471
cora,1025,0.07813747227191925,0.0035701212466335286,0.003570142202079296,0.006018972482706886
cora,1026,0.029079947620630264,0.005954140414135802,0.005954011809080839,0.01161083772603888
cora,1027,0.12416982650756836,0.012780579492075575,0.012780480901710689,0.014513708156300709
cora,1028,0.04102307930588722,0.003914472167593379,0.003914452929166146,0.005363911226595519
cora,1029,0.0160186979919672,0.0018055994583615724,0.0018054918909911066,0.0019886947279701417
cora,1030,0.032149359583854675,0.0023867376217483784,0.0023866499964242394,0.0029849944676243467
cora,1031,0.0160186979919672,0.002485404573821159,0.002485329023329541,0.0033678724043966213
cora,1032,0.032149359583854675,0.0007088096740833078,0.0007087862977641635,0.0008518013680713921
cora,1033,0.032149359583854675,0.0028355315904046337,0.0028354375972412527,0.003590667012758786
cora,1034,0.022730788215994835,0.003604925199077527,0.0036048208494321443,0.006210439876667806
cora,1035,0.07813747227191925,0.0016420227688691696,0.0016420563479186967,0.001666479833147605
cora,1036,0.06291317194700241,0.0022352120111334625,0.002235117499367334,0.0024922507273004157
cora,1037,0.025943651795387268,0.00353992007331623,0.0035399080952629447,0.004535539652351872
cora,1038,0.04388607293367386,0.003308396940525385,0.0033082737354561687,0.003791573204580345
cora,1039,0.008748294785618782,0.0012764455117780498,0.0012763498671120033,0.001707696506286993
cora,1040,0.04670776426792145,0.003159405971757595,0.003159376821713522,0.0031056053030624753
cora,1041,0.08545757830142975,0.0031857274230596977,0.003185818757629022,0.003453918750892626
cora,1042,0.04949117824435234,0.0042564407090052575,0.004256429499946535,0.003911812247679336
cora,1043,0.04388607293367386,0.003306299775420657,0.0033063438677345403,0.004285775445168838
cora,1044,0.04102307930588722,0.0018688173609699085,0.0018687044157559285,0.0021914031913183862
cora,1045,0.038115520030260086,0.0036514947415113574,0.0036513930972432718,0.00472222123244137
cora,1046,0.07565706968307495,0.00676521969521679,0.006765267287846655,0.010664332738087978
cora,1047,0.03515917807817459,0.0035410323861210513,0.003541070269420743,0.004733617497549858
cora,1048,0.03515917807817459,0.003935450296628909,0.003935457381885499,0.0058729011834657285
cora,1049,0.2157231718301773,0.010594611528000786,0.010594568331725895,0.017629902693443
cora,1050,0.04670776426792145,0.0009718833771841032,0.0009718358414829709,0.001039482013311499
cora,1051,0.04102307930588722,0.00337057696460049,0.003370666141563561,0.004191282907413552
cora,1052,0.1452387571334839,0.016915276063333762,0.016915242071263492,0.020521490077953786
cora,1053,0.022730788215994835,0.003081864603083892,0.0030817606166237965,0.003772447655137512
cora,1054,0.16138309240341187,0.0033590271518713077,0.00335915619507432,0.0039437062296201475
cora,1055,0.022730788215994835,0.0014532926400223738,0.0014531683409586549,0.0017063257148492994
cora,1056,0.025943651795387268,0.001965311049116413,0.001965284416655777,0.002818779479184741
cora,1057,0.07315507531166077,0.026395510452245113,0.02639551370884874,0.0856080029043369
cora,1058,0.11982188373804092,0.0033501042548341464,0.0033499670680612326,0.003880791053234134
cora,1059,0.032149359583854675,0.003510188942766876,0.003510086127789691,0.0046476024381263414
cora,1060,0.1731288880109787,0.004550475314908875,0.004550561323412694,0.005626922385999933
cora,1061,0.04670776426792145,0.00370357628014803,0.00370350949378917,0.00402506225691468
cora,1062,0.10191333293914795,0.010651683297277906,0.01065177156124264,0.018302147916983813
cora,1063,0.03515917807817459,0.0026734057315893484,0.002673435097676702,0.0028937122497154633
cora,1064,0.025943651795387268,0.0015573902138160817,0.0015573512755509,0.0013971658522677899
cora,1065,0.032149359583854675,0.0023642988205561342,0.002364280153869913,0.0031002833056845702
cora,1066,0.08059727400541306,0.00153423690730968,0.0015341521702794125,0.002721854096307652
cora,1067,0.022730788215994835,0.005540508560924359,0.005540545011172071,0.011999049622318125
cora,1068,0.022730788215994835,0.0014497089987975664,0.0014495813084067777,0.001339620989483592
cora,1069,0.01942843571305275,0.0024432788150415274,0.002443216959363781,0.0033631763240009604
cora,1070,0.06291317194700241,0.0038492455899693453,0.003849140979582444,0.004376730852527544
cora,1071,0.44780606031417847,0.010437868788640281,0.010437918244861066,0.01442788215354085
cora,1072,0.15338365733623505,0.002595922181952287,0.0025959134654840454,0.003692519538162742
cora,1073,0.17119142413139343,0.0033207504268586985,0.0033208794775418937,0.0041595638322178274
cora,1074,0.0706307515501976,0.004466733131750306,0.004466751190193463,0.004002331072115339
cora,1075,0.6649516224861145,0.02554815483762396,0.025548226200044155,0.0350807998329401
cora,1076,0.2666175365447998,0.0023423030510258958,0.002342233608942479,0.003300035197753459
cora,1077,0.029079947620630264,0.003324818085504909,0.0033248575491597876,0.00472084788907523
cora,1078,0.06808297336101532,0.004405962171217359,0.004406078674946912,0.004963321025570622
cora,1079,0.09961120039224625,0.005214397305763022,0.00521439743170049,0.005303199475747533
cora,1080,0.01942843571305275,0.0022433647456712343,0.002243348630145192,0.002519881993976014
cora,1081,0.1390286535024643,0.0009765395759831763,0.0009764401911525056,0.0014166026303428225
cora,1082,0.06291317194700241,0.0012016593281900523,0.0012017567005386809,0.0011999138278042665
cora,1083,0.022730788215994835,0.003081864603083892,0.0030817606166237965,0.003772447655137512
cora,1084,0.01942843571305275,0.002473677461760526,0.0024736302584642544,0.003444193573159282
cora,1085,0.03515917807817459,0.00027316043557849834,0.00027319840955897234,0.00037544654264820565
cora,1086,0.03515917807817459,0.00035172425474603447,0.0003517329096212052,0.0005269717596547707
cora,1087,0.052238933742046356,0.001541480721914082,0.001541417426778935,0.0019043332504224963
cora,1088,0.025943651795387268,0.001816752448573468,0.0018167082889704034,0.0028811586457777594
cora,1089,0.032149359583854675,0.004223534179799135,0.004223503325192723,0.006949168149731122
cora,1090,0.0706307515501976,0.011484776819578789,0.011484730523079634,0.02009977296984289
cora,1091,0.09961120039224625,0.0033676535540440727,0.0033676785533316433,0.003381484351848485
