seed,method,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,base_g0,base_gX,d_g0,d_gX,edges,dH_g0,dH_gX,dH_g0gX
123,SLL,Polblogs,0.1,100,30,0.25,20,500,0.8278145790100098,0.8506348133087158,-0.474630500700586,0.01594094755626676,3734.0,-148,245,-879
123,SLLnoSample,Polblogs,0.1,100,30,0.25,20,500,0.7615894079208374,0.8513816595077515,-0.8337167025504615,0.10521450243352057,8433.0,58,285,-2327
123,noise,Polblogs,0.1,100,30,0.25,20,500,0.8211920261383057,0.8379387855529785,-0.006442809489148948,-0.013296186926451336,8284.0,-50,0,0
123,SLL,Polblogs,0.1,100,30,0.5,20,500,0.8278145790100098,0.8506348133087158,-0.69493204015717,-0.002329369324805786,5927.0,-193,418,-1262
123,SLLnoSample,Polblogs,0.1,100,30,0.5,20,500,0.7615894079208374,0.8513816595077515,-0.9085441873381288,0.08896916509678438,16667.0,-6,912,-2496
123,noise,Polblogs,0.1,100,30,0.5,20,500,0.8211920261383057,0.8379387855529785,-0.17603849625798185,-0.020986145662927575,16783.0,-93,0,0
123,simplistic1,BlogCatalog,0.1,100,30,0.1,20,500,0.6745454668998718,0.6780025959014893,-0.007979982023694966,-0.00878512460241001,3656,440,0,0
123,simplistic2,BlogCatalog,0.1,100,30,0.1,20,500,0.6745454668998718,0.6780025959014893,-0.14069961749395477,-0.0825199666618804,66758,440,0,6817
123,SLL,BlogCatalog,0.1,100,30,0.1,20,500,0.6745454668998718,0.6810159683227539,-0.2350644135874087,-0.004246345926212403,9717.0,-3517,-72,-3962
123,SLLnoSample,BlogCatalog,0.1,100,30,0.1,20,500,0.6836363673210144,0.6907017230987549,-0.5681550076751434,-0.04034362888455995,34321.0,-52,-536,-17467
123,noise,BlogCatalog,0.1,100,30,0.1,20,500,0.6709091067314148,0.6775721311569214,-0.1539823841942669,-0.00944670463633437,34330.0,-11259,0,0
123,SLL,BlogCatalog,0.1,100,30,0.25,20,500,0.6745454668998718,0.6810159683227539,-0.38144400724135175,-0.0003043261537950979,22740.0,-8062,-209,-8939
123,SLLnoSample,BlogCatalog,0.1,100,30,0.25,20,500,0.6836363673210144,0.6907017230987549,-0.5327341635295313,-0.09500009693983198,85997.0,-308,-3910,-20223
123,noise,BlogCatalog,0.1,100,30,0.25,20,500,0.6709091067314148,0.6775721311569214,-0.3087136720909178,-0.011885220139635,86022.0,-28140,0,0
123,SLL,BlogCatalog,0.1,100,30,0.5,20,500,0.6745454668998718,0.6810159683227539,-0.4724986887382359,-0.009643467210319856,37993.0,-13028,-462,-15047
123,SLLnoSample,BlogCatalog,0.1,100,30,0.5,20,500,0.6836363673210144,0.6907017230987549,-0.47130879926086866,-0.1501972208539686,171796.0,-15,-4295,-60875
123,noise,BlogCatalog,0.1,100,30,0.5,20,500,0.6709091067314148,0.6775721311569214,-0.4330129230769766,-0.008956987255716987,171527.0,-56059,0,0
