dataname,debias_method,epochs,seed,debias_attr,reg_weight,temp,der1,ratio,f1_0,f1_1,f1_2,link
LastFM,r,200,100,0,10.0,1.0,0.2,10.0,0.7481636935991606,0.7245540398740817,0.6715634837355718,0.39524311392843886
LastFM,aug-r,200,100,1,10.0,1.0,0.2,10.0,0.7591815320041972,0.7161594963273872,0.6762854144805877,0.3625091572880702
LastFM,aug-r,200,100,1,10.0,1.0,0.2,10.0,0.7513116474291711,0.723504721930745,0.6747114375655824,0.3574528474268285
LastFM,opposite-r,200,100,1,10.0,1.0,0.2,10.0,0.7565582371458552,0.7245540398740817,0.657922350472193,0.3681047416297688
LastFM,opposite-r,200,100,1,10.0,1.0,0.2,10.0,0.7502623294858343,0.7119622245540399,0.6836306400839455,0.38133503727798473
LastFM,r,200,100,1,10.0,1.0,0.2,10.0,0.7534102833158447,0.7256033578174187,0.6804826862539349,0.3724637343628008
LastFM,r,200,100,1,10.0,1.0,0.2,10.0,0.7555089192025184,0.7166841552990556,0.661594963273872,0.3705533114399994
LastFM,opposite,200,100,0,10.0,1.0,0.2,10.0,0.7618048268625394,0.7245540398740817,0.6810073452256034,0.4920391159045054
LastFM,aug-r,200,100,2,10.0,1.0,0.2,10.0,0.7439664218258131,0.7219307450157396,0.6558237145855194,0.45365367953076063
LastFM,aug,200,100,0,10.0,1.0,0.2,10.0,0.753934942287513,0.714585519412382,0.6747114375655824,0.495013736442428
LastFM,aug-n,200,100,0,10.0,1.0,0.2,10.0,0.7597061909758657,0.7182581322140608,0.6820566631689402,0.4958723548794631
LastFM,opposite-r,200,100,2,10.0,1.0,0.2,10.0,0.7576075550891919,0.7256033578174187,0.670514165792235,0.45175629562294745
LastFM,r,200,100,2,10.0,1.0,0.2,10.0,0.7444910807974816,0.7203567681007346,0.64900314795383,0.4610253262631985
LastFM,aug-r,200,100,0,10.0,1.0,0.2,10.0,0.7423924449108079,0.720881427072403,0.6663168940188877,0.4177611694301055
LastFM,aug-r,200,100,0,10.0,1.0,0.2,20.0,0.7518363064008394,0.720881427072403,0.6804826862539349,0.37218220097960425
LastFM,opposite-r,200,100,0,10.0,1.0,0.2,10.0,0.7607555089192025,0.7250786988457503,0.6768100734522561,0.3574908197619847
LastFM,opposite-r,200,100,0,10.0,1.0,0.2,20.0,0.7465897166841553,0.7214060860440714,0.6820566631689402,0.3622209355362912
LastFM,r,200,100,0,10.0,1.0,0.2,10.0,0.7534102833158447,0.7119622245540399,0.674186778593914,0.41210298466282813
LastFM,r,200,100,0,10.0,1.0,0.2,20.0,0.7486883525708291,0.7224554039874082,0.6789087093389297,0.4097281136034869
LastFM,opposite,200,100,2,10.0,1.0,0.2,20.0,0.7523609653725079,0.7198321091290661,0.6794333683105981,0.49752503313103463
LastFM,aug,200,100,2,10.0,1.0,0.2,20.0,0.7644281217208815,0.7229800629590766,0.6663168940188877,0.49177675295052325
LastFM,aug-r,200,100,1,10.0,1.0,0.2,20.0,0.7565582371458552,0.7287513116474291,0.6684155299055614,0.38496431044758395
LastFM,aug-n,200,100,2,10.0,1.0,0.2,20.0,0.7602308499475341,0.7203567681007346,0.6815320041972718,0.4959310242184471
LastFM,opposite-r,200,100,1,10.0,1.0,0.2,20.0,0.753934942287513,0.7130115424973767,0.661594963273872,0.3898373755914009
LastFM,aug-r,200,100,2,10.0,1.0,0.2,20.0,0.7528856243441763,0.7182581322140608,0.6526757607555089,0.46702459956456405
LastFM,r,200,100,1,10.0,1.0,0.2,20.0,0.7565582371458552,0.7266526757607555,0.6815320041972718,0.36033842205831834
LastFM,opposite-r,200,100,2,10.0,1.0,0.2,20.0,0.7486883525708291,0.7187827911857292,0.6505771248688352,0.4586810307153401
LastFM,aug-r,200,100,2,10.0,1.0,0.2,20.0,0.74501573976915,0.7224554039874082,0.6668415529905561,0.4535902341986298
LastFM,r,200,100,2,10.0,1.0,0.2,20.0,0.7371458551941239,0.7119622245540399,0.6568730325288562,0.45269992883055576
LastFM,opposite-r,200,100,2,10.0,1.0,0.2,20.0,0.7350472193074502,0.717208814270724,0.6516264428121721,0.4543373473111766
LastFM,opposite,200,100,1,10.0,1.0,0.2,20.0,0.7602308499475341,0.7166841552990556,0.6773347324239245,0.4933219743764607
LastFM,aug,200,100,1,10.0,1.0,0.2,20.0,0.753934942287513,0.7214060860440714,0.6773347324239245,0.49582761384136526
LastFM,r,200,100,2,10.0,1.0,0.2,20.0,0.7502623294858343,0.7166841552990556,0.664218258132214,0.4528516526692546
