label,index,num_edges,num_nodes,density,num_triangles,max_diameter,seed,subgraph_size,num_save,batch_size,timesteps,epochs,method,dataset
pred,11,27,16,1.6875,2,9,123,16,50,64,400,5,walk,cora
pred,12,34,16,2.125,3,4,123,16,50,64,400,5,walk,cora
pred,13,25,16,1.5625,0,6,123,16,50,64,400,5,walk,cora
pred,14,20,16,1.25,0,7,123,16,50,64,400,5,walk,cora
pred,15,25,16,1.5625,1,5,123,16,50,64,400,5,walk,cora
pred,16,19,16,1.1875,0,5,123,16,50,64,400,5,walk,cora
pred,17,24,16,1.5,0,5,123,16,50,64,400,5,walk,cora
pred,18,21,16,1.3125,0,5,123,16,50,64,400,5,walk,cora
pred,19,24,16,1.5,0,6,123,16,50,64,400,5,walk,cora
pred,20,24,16,1.5,1,7,123,16,50,64,400,5,walk,cora
pred,21,36,16,2.25,2,11,123,16,50,64,400,5,walk,cora
pred,22,30,16,1.875,0,9,123,16,50,64,400,5,walk,cora
pred,23,14,16,0.875,0,2,123,16,50,64,400,5,walk,cora
pred,24,28,16,1.75,0,9,123,16,50,64,400,5,walk,cora
pred,25,38,16,2.375,3,11,123,16,50,64,400,5,walk,cora
pred,26,20,16,1.25,0,5,123,16,50,64,400,5,walk,cora
pred,27,27,16,1.6875,0,6,123,16,50,64,400,5,walk,cora
pred,28,28,16,1.75,0,10,123,16,50,64,400,5,walk,cora
pred,29,24,16,1.5,1,5,123,16,50,64,400,5,walk,cora
pred,30,16,16,1.0,0,7,123,16,50,64,400,5,walk,cora
pred,31,33,16,2.0625,3,6,123,16,50,64,400,5,walk,cora
pred,32,36,16,2.25,0,9,123,16,50,64,400,5,walk,cora
pred,33,28,16,1.75,2,6,123,16,50,64,400,5,walk,cora
pred,34,26,16,1.625,0,5,123,16,50,64,400,5,walk,cora
pred,35,26,16,1.625,1,6,123,16,50,64,400,5,walk,cora
pred,36,27,16,1.6875,1,7,123,16,50,64,400,5,walk,cora
pred,37,14,16,0.875,0,3,123,16,50,64,400,5,walk,cora
