dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,f1_g0_base,f1_gX_base,f1_g0_lock,f1_gX_lock,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,num_classes,edges_modified,orig_edges
Polblogs,123,config.yaml,many_clusters,0.1,30,noise,0.25,0.9395973154362416,0.8581477139507621,0.912751677852349,0.8628370457209847,-0.028571428571428532,0.005464480874316869,0.905773257553096,0.963758389261745,0.9306547012033449,0.905773257553096,0.7441767602821776,0.9306547012033449,0.8485794704899288,-0.2278388768659856,0.0,-0.06314360308856277,2,8319,16715
Polblogs,123,config.yaml,many_clusters,0.1,30,heuristic,0.25,0.9530201342281879,0.8558030480656507,0.8657718120805369,0.813599062133646,-0.09154929577464788,-0.04931506849315069,0.905773257553096,0.963758389261745,0.9306547012033449,0.905773257553096,nan,0.9306547012033449,0.9306547012033449,nan,0.0,0.027469836896559484,2,6909,16715
BlogCatalog,123,config.yaml,many_clusters,0.1,30,sll,0.25,0.7129094412331407,0.6748329621380846,0.28901734104046245,0.6447661469933185,-0.5945945945945946,-0.04455445544554459,0.40107602638826617,0.3791589033803567,0.4134110476325867,0.40107602638826617,0.19109150773436043,0.41176884201274444,0.30775206637642755,-0.49601207823236776,-0.003972331240895449,-0.23268396481393108,6,86025,171743
BlogCatalog,123,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.7109826589595376,0.688195991091314,0.5606936416184971,0.7138084632516705,-0.21138211382113825,0.03721682847896455,0.40107602638826617,0.3791589033803567,0.4134110476325867,0.40107602638826617,0.3457139488267893,0.4075501565779965,0.3690569934136077,-0.08820827957722195,-0.014176909611276246,-0.07983282686575259,6,20500,171743
BlogCatalog,123,config.yaml,many_clusters,0.1,30,noise,0.25,0.7321772639691715,0.6714922048997772,0.5684007707129094,0.6870824053452116,-0.22368421052631585,0.023217247097844198,0.40107602638826617,0.3791589033803567,0.4134110476325867,0.40107602638826617,0.18567636085334355,0.4134110476325867,0.3290660189709223,-0.5102940767104165,0.0,-0.1795420386149776,6,85738,171743
BlogCatalog,123,config.yaml,many_clusters,0.1,30,heuristic,0.25,0.7244701348747592,0.7093541202672605,0.11175337186897881,0.6826280623608018,-0.8457446808510638,-0.037676609105180496,0.40107602638826617,0.3791589033803567,0.4134110476325867,0.40107602638826617,nan,0.4134110476325867,0.4134110476325867,nan,0.0,0.03075482061443247,6,59194,171743
flickr,123,config.yaml,many_clusters,0.1,30,sll,0.25,0.47291941875825627,0.4710382513661202,0.2509907529722589,0.453551912568306,-0.4692737430167598,-0.03712296983758698,0.2385854557892366,0.19039957093054438,0.26369172849075406,0.2385854557892366,0.13563591665781446,0.24991743477347103,0.19018329581664573,-0.28762488279297166,-0.05223635112151804,-0.2028713771025034,9,109412,239738
flickr,123,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.4266842800528402,0.4633879781420765,0.29458388375165123,0.45136612021857925,-0.3095975232198144,-0.02594339622641505,0.2385854557892366,0.19039957093054438,0.26369172849075406,0.2385854557892366,0.18779281197785277,0.2449261355791799,0.22105180703567073,-0.013690991738854932,-0.07116489022609657,-0.07349001512084989,9,28693,239738
flickr,123,config.yaml,many_clusters,0.1,30,noise,0.25,0.41479524438573323,0.4710382513661202,0.29458388375165123,0.43934426229508194,-0.2898089171974524,-0.06728538283062648,0.2385854557892366,0.19039957093054438,0.26369172849075406,0.2385854557892366,0.12487672682664785,0.26369172849075406,0.20049965783001472,-0.34413336008933826,0.0,-0.15963168347053977,9,119973,239738
flickr,123,config.yaml,many_clusters,0.1,30,heuristic,0.25,0.404227212681638,0.47759562841530057,0.07529722589167767,0.41420765027322404,-0.8137254901960783,-0.1327231121281465,0.2385854557892366,0.19039957093054438,0.26369172849075406,0.2385854557892366,nan,0.26369172849075406,0.26369172849075406,nan,0.0,0.10522968643862363,9,149428,239738
cora,123,config.yaml,large_cluster,0.1,30,sll,0.25,0.762962962962963,0.7163515016685206,0.1111111111111111,0.6729699666295884,-0.854368932038835,-0.06055900621118015,0.8099658961727927,0.9071729957805907,0.8013976555455365,0.8099658961727927,0.41739130434782606,0.7917946467749013,0.5685027350209897,-0.5398988877654196,-0.011982826134047244,-0.2981152197799336,7,2585,5278
cora,123,config.yaml,large_cluster,0.1,30,sll_no_g,0.25,0.7444444444444445,0.7219132369299222,0.2962962962962963,0.6696329254727474,-0.6019900497512438,-0.0724191063174115,0.8099658961727927,0.9071729957805907,0.8013976555455365,0.8099658961727927,0.6964856230031949,0.7771297646323683,0.6448504027617952,-0.23224608068950142,-0.030281958956628545,-0.20385487116333215,7,1680,5278
cora,123,config.yaml,large_cluster,0.1,30,noise,0.25,0.7666666666666667,0.699666295884316,0.5740740740740741,0.7074527252502781,-0.2512077294685991,0.011128775834658199,0.8099658961727927,0.9071729957805907,0.8013976555455365,0.8099658961727927,0.41774362556758643,0.8013976555455365,0.6649797570850202,-0.5395105150720094,0.0,-0.17900277008310247,7,2674,5278
cora,123,config.yaml,large_cluster,0.1,30,heuristic,0.25,0.7814814814814814,0.7219132369299222,0.5481481481481482,0.7185761957730811,-0.2985781990521327,-0.004622496147920079,0.8099658961727927,0.9071729957805907,0.8013976555455365,0.8099658961727927,nan,0.8013976555455365,0.8013976555455365,nan,0.0,-0.01057852024108957,7,842,5278
citeseer,123,config.yaml,large_cluster,0.1,30,sll,0.25,0.5,0.608,0.5,0.567,0.0,-0.06743421052631585,0.7390550498482878,1.0,0.7389984825493171,0.7390550498482878,nan,0.6486042692939245,0.5236082774701253,nan,-0.1223198902162295,-0.2915165418630035,6,2376,4614
